CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TotalSpend,TransactionCount,Books,Clothing,Electronics,Furniture,Groceries,TotalInteractions,UnresolvedInteractions,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus
44,37,F,Widowed,Low,687.8199999999999,3,0.0,0.0,227.58,0.0,460.24,1.0,1.0,2023-11-13,35,Mobile App,0
45,32,F,Widowed,Low,300.42,1,0.0,0.0,0.0,0.0,300.42,1.0,1.0,2023-09-02,49,Online Banking,0
46,57,F,Married,High,134.67,1,0.0,0.0,134.67,0.0,0.0,0.0,0.0,2023-07-31,24,Online Banking,1
47,50,F,Married,Medium,1466.37,7,158.06,303.45,49.88,774.5,180.48,0.0,0.0,2023-04-19,21,Website,0
48,19,M,Divorced,Medium,1597.29,7,388.42999999999995,118.52,468.65999999999997,429.87,191.81,0.0,0.0,2023-06-12,34,Website,0
49,27,F,Single,Medium,641.48,3,62.73,0.0,223.89,0.0,354.86,0.0,0.0,2023-02-19,18,Online Banking,0
50,50,F,Single,Low,1514.62,4,0.0,361.72,0.0,269.01,883.89,2.0,2.0,2023-07-15,19,Online Banking,0
51,49,M,Divorced,Medium,549.86,3,23.42,0.0,476.36,50.08,0.0,0.0,0.0,2023-10-31,3,Mobile App,1
52,28,M,Widowed,Medium,401.25,1,0.0,0.0,0.0,0.0,401.25,0.0,0.0,2023-02-16,6,Mobile App,0
53,41,F,Widowed,Low,1255.34,7,672.86,68.92,0.0,218.92,294.64,0.0,0.0,2023-10-02,20,Mobile App,0
54,53,F,Married,Low,461.21000000000004,2,283.1,0.0,0.0,0.0,178.11,2.0,0.0,2023-01-20,22,Online Banking,0
55,29,F,Single,Low,1129.35,5,0.0,229.41,0.0,774.1800000000001,125.76,0.0,0.0,2023-08-18,33,Website,0
56,68,F,Married,Low,1443.46,5,588.02,255.32,462.05,0.0,138.07,0.0,0.0,2023-08-20,14,Mobile App,0
57,46,F,Divorced,High,597.75,3,86.35,0.0,295.23,0.0,216.17,1.0,1.0,2023-07-20,44,Online Banking,0
58,52,M,Single,High,2215.82,6,314.01,1240.06,356.52,0.0,305.23,2.0,2.0,2023-04-17,9,Online Banking,0
59,18,M,Married,Medium,292.51,3,0.0,0.0,191.2,101.31,0.0,0.0,0.0,2023-12-11,45,Online Banking,0
60,18,F,Single,High,781.09,4,218.36,94.75,10.61,0.0,457.37,2.0,1.0,2023-03-02,25,Mobile App,0
61,54,M,Single,Low,678.97,3,0.0,0.0,426.25,252.72,0.0,1.0,0.0,2023-12-27,47,Website,1
62,23,F,Married,High,840.0,4,91.91,272.02,359.92,0.0,116.15,2.0,0.0,2023-08-27,16,Mobile App,0
63,56,M,Married,Low,2205.11,9,189.74,436.58,68.98,794.1600000000001,715.6500000000001,0.0,0.0,2023-05-26,7,Mobile App,0
64,58,F,Single,High,965.21,3,0.0,494.58,184.28,286.35,0.0,0.0,0.0,2023-06-03,11,Online Banking,0
65,35,F,Divorced,Low,1359.8899999999999,5,0.0,0.0,613.47,462.37,284.05,0.0,0.0,2023-09-25,27,Mobile App,0
66,33,M,Widowed,Medium,1409.11,8,176.53,280.54,557.17,0.0,394.87,0.0,0.0,2023-08-17,40,Online Banking,0
67,22,F,Single,Medium,701.76,4,30.24,671.52,0.0,0.0,0.0,2.0,0.0,2023-07-23,17,Online Banking,0
68,59,F,Divorced,High,886.4799999999999,4,237.01,228.66,57.28,0.0,363.53,2.0,2.0,2023-07-25,5,Website,1
69,60,F,Single,Low,1038.53,4,612.75,132.16,0.0,293.62,0.0,1.0,0.0,2023-11-13,29,Mobile App,0
70,49,F,Married,Medium,2453.98,7,492.36,648.25,406.93,906.44,0.0,0.0,0.0,2023-03-15,10,Mobile App,0
71,19,F,Divorced,Low,474.59000000000003,3,0.0,136.01,0.0,0.0,338.58000000000004,2.0,1.0,2023-08-17,47,Online Banking,1
72,19,F,Divorced,High,1080.4,6,0.0,593.5400000000001,371.92,0.0,114.94,2.0,1.0,2023-04-25,25,Online Banking,1
73,57,M,Single,Low,2254.22,9,0.0,1124.49,544.97,0.0,584.76,1.0,0.0,2023-10-27,24,Online Banking,1
74,59,M,Widowed,Low,2083.79,8,58.9,785.6,317.21,478.33,443.75,1.0,0.0,2023-02-19,44,Mobile App,0
75,53,F,Single,High,769.97,4,259.91,57.03,238.78,214.25,0.0,1.0,0.0,2023-06-17,12,Mobile App,1
76,56,F,Widowed,Medium,883.92,4,525.54,358.38,0.0,0.0,0.0,2.0,1.0,2023-05-09,5,Website,1
77,29,M,Divorced,High,1797.06,8,357.34000000000003,1173.13,0.0,266.59,0.0,0.0,0.0,2023-10-15,29,Online Banking,0
78,64,M,Widowed,Low,816.89,3,0.0,78.58,0.0,0.0,738.31,1.0,1.0,2023-10-07,35,Mobile App,0
79,36,M,Married,High,931.3199999999999,3,487.06,0.0,0.0,444.26,0.0,1.0,0.0,2023-04-20,23,Online Banking,1
80,45,M,Widowed,High,110.82,1,0.0,0.0,0.0,110.82,0.0,0.0,0.0,2023-06-09,32,Mobile App,0
81,18,F,Widowed,Low,2181.77,8,483.95,975.6099999999999,0.0,287.48,434.73,0.0,0.0,2023-12-03,40,Website,1
82,32,F,Divorced,High,232.38,1,0.0,232.38,0.0,0.0,0.0,0.0,0.0,2023-05-08,19,Mobile App,0
83,53,M,Widowed,Medium,1419.9199999999998,6,233.29,623.43,404.4,0.0,158.8,2.0,2.0,2023-12-31,25,Mobile App,0
84,30,M,Divorced,Medium,1545.91,5,222.83,273.85,0.0,571.83,477.4,0.0,0.0,2023-11-30,45,Online Banking,0
85,60,M,Married,High,1690.08,9,195.2,434.59999999999997,0.0,565.78,494.5,0.0,0.0,2023-08-08,37,Mobile App,0
86,38,M,Married,Low,1674.6599999999999,7,0.0,961.26,144.41,0.0,568.99,0.0,0.0,2023-10-18,1,Website,0
87,29,F,Single,High,1411.84,5,48.02,610.91,472.13,280.78,0.0,2.0,1.0,2023-11-22,43,Website,0
88,22,M,Single,High,447.34000000000003,2,0.0,224.36,0.0,0.0,222.98,0.0,0.0,2023-02-08,13,Online Banking,0
89,24,M,Single,Medium,1951.99,7,0.0,480.04,908.1,330.59,233.26,0.0,0.0,2023-09-06,12,Mobile App,0
90,22,M,Married,Medium,1229.96,6,143.65,704.78,0.0,266.03,115.5,1.0,0.0,2023-05-30,47,Online Banking,0
91,65,F,Widowed,Low,1804.74,9,698.81,196.51999999999998,32.66,392.84,483.91,2.0,1.0,2023-02-03,43,Mobile App,0
92,21,F,Divorced,Low,2265.28,8,400.48,187.74,432.99,481.47,762.6,2.0,1.0,2023-07-01,37,Mobile App,0
93,30,F,Married,Low,848.07,5,168.79,0.0,182.01,0.0,497.27,2.0,0.0,2023-10-16,42,Mobile App,0
94,54,M,Widowed,High,1113.6100000000001,3,0.0,0.0,430.25,683.36,0.0,0.0,0.0,2023-06-27,41,Website,0
95,58,F,Single,High,677.27,3,0.0,323.59,0.0,123.78,229.9,1.0,0.0,2023-06-20,12,Online Banking,0
96,32,F,Divorced,High,161.84,1,0.0,0.0,161.84,0.0,0.0,2.0,2.0,2023-02-27,36,Mobile App,0
97,33,M,Single,High,553.65,2,0.0,0.0,0.0,553.65,0.0,2.0,0.0,2023-12-20,38,Website,0
98,38,F,Divorced,Low,893.76,5,87.76,286.81,384.61,0.0,134.58,1.0,0.0,2023-05-23,9,Mobile App,0
99,53,M,Widowed,Low,889.75,5,23.13,192.43,147.43,0.0,526.76,0.0,0.0,2023-02-10,14,Online Banking,0
100,41,F,Married,Low,1108.56,4,0.0,383.67,0.0,0.0,724.89,2.0,0.0,2023-06-02,45,Online Banking,1
101,33,F,Single,High,492.35,1,0.0,0.0,0.0,0.0,492.35,2.0,1.0,2023-01-15,35,Online Banking,0
102,31,M,Married,High,2029.96,6,0.0,132.38,869.49,119.17,908.9200000000001,2.0,1.0,2023-01-14,32,Online Banking,0
103,39,M,Widowed,Low,2297.73,9,156.75,740.6800000000001,380.35,1019.95,0.0,2.0,0.0,2023-04-27,46,Mobile App,0
104,66,F,Widowed,Medium,2666.84,9,0.0,810.82,1247.9299999999998,124.52,483.57,2.0,1.0,2023-03-23,3,Online Banking,1
105,67,F,Widowed,Low,1863.6,8,0.0,364.04999999999995,0.0,852.1,647.45,2.0,2.0,2023-12-24,30,Website,0
106,23,M,Married,High,875.08,3,0.0,244.22,0.0,131.3,499.56,2.0,1.0,2023-07-20,49,Mobile App,0
107,59,F,Married,High,1542.76,6,267.23,682.88,0.0,491.36,101.29,0.0,0.0,2023-01-27,7,Online Banking,1
108,53,M,Divorced,Low,494.30999999999995,2,365.58,128.73,0.0,0.0,0.0,2.0,2.0,2023-03-24,1,Mobile App,1
109,18,M,Married,Medium,1274.7,6,532.64,129.28,312.51,284.74,15.53,2.0,2.0,2023-04-28,20,Mobile App,0
110,49,M,Married,Medium,723.0,3,65.04,301.71,356.25,0.0,0.0,2.0,0.0,2023-10-10,25,Website,1
111,23,F,Widowed,High,613.1800000000001,2,350.44,0.0,0.0,262.74,0.0,1.0,1.0,2023-06-17,33,Website,1
112,48,F,Divorced,High,750.17,3,338.38,223.78,0.0,188.01,0.0,1.0,0.0,2023-10-16,35,Website,0
113,18,F,Married,High,1834.01,7,570.96,101.31,240.32999999999998,921.4100000000001,0.0,1.0,1.0,2023-04-12,44,Online Banking,0
114,67,F,Married,Low,2133.28,8,392.44,435.87,765.05,393.41,146.51,0.0,0.0,2023-08-02,24,Website,0
115,68,F,Widowed,High,653.62,5,150.08,189.81,275.8,37.93,0.0,0.0,0.0,2023-09-21,14,Mobile App,0
116,54,M,Married,High,1504.28,7,783.81,0.0,371.19,349.28,0.0,1.0,0.0,2023-08-20,39,Mobile App,0
117,52,F,Widowed,High,448.48,2,0.0,212.02,236.46,0.0,0.0,0.0,0.0,2023-12-25,44,Online Banking,0
118,66,M,Divorced,Medium,1625.39,6,346.98,381.51,563.53,333.37,0.0,1.0,1.0,2023-10-01,34,Online Banking,0
119,47,M,Widowed,Medium,2012.3300000000002,8,157.43,666.3,255.14,61.45,872.01,2.0,0.0,2023-03-29,18,Mobile App,1
120,21,F,Widowed,High,1168.79,6,477.85999999999996,0.0,595.9,0.0,95.03,2.0,1.0,2023-02-23,2,Online Banking,0
121,52,M,Divorced,Medium,1073.01,5,492.28,325.01,0.0,137.39,118.33,2.0,1.0,2023-09-09,38,Mobile App,0
122,60,F,Single,Medium,2825.52,9,467.17,758.11,439.68,49.64,1110.92,1.0,0.0,2023-06-14,17,Mobile App,1
123,31,M,Widowed,Medium,938.58,3,0.0,0.0,442.76,0.0,495.82000000000005,2.0,0.0,2023-03-15,23,Mobile App,1
124,66,M,Married,Medium,2283.88,7,719.95,543.38,904.3499999999999,116.2,0.0,2.0,0.0,2023-02-19,33,Website,0
125,57,M,Widowed,Low,744.89,2,0.0,0.0,374.94,0.0,369.95,0.0,0.0,2023-06-21,28,Online Banking,0
126,39,F,Divorced,Medium,2323.02,9,208.23,1129.45,0.0,27.36,957.98,0.0,0.0,2023-05-14,15,Website,0
127,27,F,Married,Medium,1976.17,8,0.0,488.18,58.39,886.15,543.45,1.0,0.0,2023-01-18,11,Website,0
128,18,F,Divorced,Medium,630.2,2,147.45,482.75,0.0,0.0,0.0,2.0,1.0,2023-07-07,23,Website,1
129,28,F,Widowed,Medium,243.55,2,115.9,0.0,0.0,0.0,127.65,1.0,0.0,2023-03-21,13,Website,0
130,68,M,Divorced,Low,552.23,2,0.0,0.0,552.23,0.0,0.0,1.0,1.0,2023-02-25,47,Mobile App,0
131,61,F,Divorced,Low,2726.7,8,526.71,297.13,1027.04,450.67,425.15,1.0,0.0,2023-09-24,11,Website,0
132,41,F,Single,High,1879.94,9,405.19,224.86,528.41,24.17,697.31,0.0,0.0,2023-06-15,36,Website,0
133,20,M,Widowed,Medium,896.27,4,0.0,0.0,409.52000000000004,0.0,486.75,1.0,0.0,2023-04-13,38,Mobile App,0
134,52,M,Widowed,Medium,1570.08,6,0.0,470.71000000000004,478.02,369.06,252.29,1.0,1.0,2023-01-05,27,Mobile App,0
135,53,F,Widowed,High,441.75,2,372.66,0.0,69.09,0.0,0.0,0.0,0.0,2023-06-19,18,Mobile App,0
136,48,M,Widowed,Low,419.86,2,228.16,0.0,0.0,191.7,0.0,0.0,0.0,2023-11-07,40,Mobile App,0
137,21,F,Married,High,431.47,1,0.0,0.0,431.47,0.0,0.0,0.0,0.0,2023-06-19,38,Online Banking,1
138,36,M,Divorced,Low,2804.65,8,735.5,971.0699999999999,695.88,402.2,0.0,1.0,1.0,2023-03-20,34,Online Banking,0
139,64,F,Widowed,High,2045.49,7,0.0,403.63,1641.8600000000001,0.0,0.0,2.0,1.0,2023-06-03,22,Website,0
140,53,M,Married,High,1024.23,3,0.0,578.34,0.0,0.0,445.89,1.0,0.0,2023-10-21,18,Mobile App,0
141,38,F,Widowed,Medium,2483.75,7,0.0,899.6600000000001,805.05,142.43,636.61,2.0,0.0,2023-06-28,41,Online Banking,0
142,35,M,Divorced,High,1391.99,5,531.6700000000001,553.54,0.0,0.0,306.78,1.0,1.0,2023-04-27,18,Mobile App,0
143,68,F,Widowed,Low,343.27,2,343.27,0.0,0.0,0.0,0.0,1.0,0.0,2023-12-25,13,Website,0
144,45,F,Married,Low,419.85,1,0.0,0.0,419.85,0.0,0.0,1.0,0.0,2023-02-18,39,Online Banking,1
145,32,F,Married,High,1768.7,5,1429.54,0.0,0.0,339.16,0.0,2.0,2.0,2023-10-11,16,Online Banking,0
146,59,F,Divorced,Low,1373.73,5,0.0,439.15,267.25,249.26,418.07,0.0,0.0,2023-12-12,8,Mobile App,0
147,19,F,Widowed,High,2260.34,8,203.23,1142.48,0.0,128.42,786.21,2.0,1.0,2023-09-02,34,Mobile App,0
148,54,F,Married,Medium,13.04,1,0.0,0.0,0.0,0.0,13.04,2.0,1.0,2023-03-09,29,Website,0
149,28,M,Single,Medium,444.84,1,444.84,0.0,0.0,0.0,0.0,1.0,0.0,2023-02-17,6,Online Banking,0
150,40,F,Widowed,Medium,1193.26,8,350.47,194.25,120.10999999999999,398.49,129.94,0.0,0.0,2023-06-29,38,Mobile App,0
151,61,M,Single,Medium,334.2,1,0.0,0.0,0.0,334.2,0.0,2.0,1.0,2023-06-02,36,Mobile App,0
152,58,F,Married,High,1448.8,7,0.0,0.0,369.71999999999997,579.27,499.81,0.0,0.0,2023-09-30,48,Mobile App,0
153,29,M,Married,Low,1735.16,5,485.08,246.37,0.0,432.79,570.92,1.0,1.0,2023-01-26,42,Online Banking,0
154,20,F,Divorced,High,1753.55,7,976.29,445.69,331.57,0.0,0.0,0.0,0.0,2023-04-19,26,Mobile App,0
155,69,M,Divorced,Low,1883.08,8,29.66,646.47,779.5,0.0,427.45,2.0,0.0,2023-04-08,18,Website,0
156,34,F,Widowed,High,702.9200000000001,7,193.88,0.0,213.27,49.77,246.0,0.0,0.0,2023-06-30,11,Mobile App,0
157,50,M,Married,Low,2412.6800000000003,7,127.19,811.94,0.0,157.24,1316.31,0.0,0.0,2023-06-13,27,Mobile App,0
158,18,F,Married,Low,1471.29,7,200.86,258.83,408.06,573.84,29.7,0.0,0.0,2023-10-03,30,Online Banking,0
159,56,M,Married,High,25.75,1,0.0,0.0,25.75,0.0,0.0,2.0,2.0,2023-05-11,18,Website,0
160,37,M,Married,Medium,2053.13,8,748.9,0.0,219.87,488.46,595.9,2.0,1.0,2023-05-02,43,Online Banking,1
161,64,M,Single,High,1983.84,6,0.0,263.08,992.45,349.33,378.98,1.0,1.0,2023-07-24,4,Mobile App,0
162,60,F,Married,Medium,425.88,3,290.67,52.3,0.0,82.91,0.0,2.0,1.0,2023-06-11,6,Mobile App,0
163,69,M,Divorced,High,1064.88,3,313.26,492.32,259.3,0.0,0.0,2.0,1.0,2023-01-13,22,Mobile App,0
164,58,F,Widowed,Low,955.49,5,414.14,303.76,0.0,237.59,0.0,1.0,0.0,2023-11-25,2,Website,1
165,31,F,Widowed,Medium,181.34,1,0.0,181.34,0.0,0.0,0.0,0.0,0.0,2023-03-01,47,Mobile App,0
166,48,F,Widowed,Low,1241.5,5,311.07,0.0,297.64,632.79,0.0,1.0,0.0,2023-08-03,48,Online Banking,0
167,42,F,Single,Low,2356.35,8,595.6700000000001,148.79,297.02,679.0,635.87,1.0,0.0,2023-03-03,40,Website,0
168,20,M,Married,Low,1126.93,4,361.37,0.0,377.28,388.28,0.0,2.0,1.0,2023-08-29,32,Website,1
169,21,F,Widowed,High,2164.75,9,199.62,428.65,0.0,1128.44,408.04,1.0,1.0,2023-06-18,39,Mobile App,0
170,48,M,Divorced,Low,1448.33,7,791.6199999999999,462.66,173.08,0.0,20.97,1.0,1.0,2023-10-12,21,Website,1
171,52,F,Single,High,2532.71,7,691.0699999999999,262.49,426.22,477.4,675.53,1.0,0.0,2023-05-04,8,Mobile App,0
172,61,M,Married,Medium,1972.76,6,0.0,0.0,864.3299999999999,673.19,435.24,2.0,1.0,2023-12-12,25,Website,0
173,31,F,Married,Low,606.09,3,367.4,0.0,238.69,0.0,0.0,1.0,0.0,2023-10-22,41,Mobile App,0
174,66,F,Married,Medium,1801.46,7,1281.96,202.38,217.52,99.6,0.0,1.0,1.0,2023-03-09,36,Mobile App,1
175,58,M,Married,Medium,1218.9,7,515.8199999999999,0.0,505.94000000000005,135.1,62.04,2.0,1.0,2023-11-27,4,Website,0
176,26,F,Single,High,936.78,6,106.22,292.47,0.0,463.56,74.53,0.0,0.0,2023-09-23,15,Website,1
177,37,F,Divorced,Medium,429.79,1,0.0,0.0,429.79,0.0,0.0,1.0,1.0,2023-03-05,28,Website,0
178,49,F,Married,High,741.63,3,0.0,224.68,0.0,0.0,516.95,0.0,0.0,2023-05-06,20,Website,0
179,26,F,Single,High,412.58000000000004,2,0.0,0.0,89.97,0.0,322.61,0.0,0.0,2023-09-06,38,Website,0
180,44,F,Single,Medium,1985.93,7,541.37,485.2,43.2,0.0,916.1600000000001,0.0,0.0,2023-01-30,6,Online Banking,0
181,20,F,Divorced,Medium,715.6800000000001,2,0.0,715.6800000000001,0.0,0.0,0.0,0.0,0.0,2023-04-22,30,Mobile App,0
182,21,F,Single,Medium,1491.65,5,168.89,359.68,482.94,480.14,0.0,2.0,0.0,2023-06-12,32,Online Banking,0
183,62,F,Single,High,1135.44,3,0.0,0.0,0.0,0.0,1135.44,1.0,0.0,2023-04-21,49,Online Banking,1
184,32,M,Widowed,High,97.19,2,0.0,0.0,0.0,80.42,16.77,0.0,0.0,2023-04-14,41,Online Banking,0
185,50,F,Widowed,Medium,1284.89,6,0.0,276.3,7.21,287.09,714.29,2.0,0.0,2023-10-23,4,Online Banking,0
186,22,M,Divorced,High,460.87,3,0.0,162.48,0.0,298.39,0.0,0.0,0.0,2023-10-18,35,Mobile App,0
187,21,F,Widowed,Medium,513.26,2,20.24,493.02,0.0,0.0,0.0,2.0,0.0,2023-01-09,30,Mobile App,0
188,63,M,Single,High,1768.25,6,310.55,424.94,225.4,554.62,252.74,2.0,1.0,2023-03-29,49,Mobile App,0
189,29,M,Single,High,574.4699999999999,3,388.89,30.56,0.0,155.02,0.0,2.0,1.0,2023-06-21,41,Mobile App,0
190,40,M,Divorced,Low,1417.97,7,124.39,0.0,278.39,0.0,1015.19,1.0,1.0,2023-04-01,22,Website,1
191,31,F,Single,Low,1942.65,7,318.77,317.56,456.77,404.61,444.94,2.0,1.0,2023-02-15,2,Website,0
192,63,F,Divorced,Medium,1172.53,3,0.0,0.0,822.25,350.28,0.0,2.0,1.0,2023-07-07,12,Website,0
193,29,M,Widowed,Low,270.34,1,0.0,270.34,0.0,0.0,0.0,2.0,1.0,2023-05-11,34,Website,0
194,34,F,Widowed,High,1388.97,5,364.98,515.85,0.0,508.14,0.0,0.0,0.0,2023-10-23,34,Website,0
195,42,F,Married,Medium,1711.71,6,570.15,0.0,511.27,0.0,630.29,2.0,1.0,2023-03-07,14,Website,0
196,47,M,Widowed,Low,2134.16,8,236.93,491.25,695.85,109.14,600.99,2.0,2.0,2023-01-22,39,Website,0
197,39,F,Married,Medium,925.4300000000001,4,354.07,0.0,255.56,315.8,0.0,2.0,1.0,2023-03-16,39,Online Banking,1
198,64,M,Married,Medium,1461.25,7,573.52,457.76,219.09,210.88,0.0,0.0,0.0,2023-06-21,45,Online Banking,0
199,43,M,Married,High,1270.25,6,354.55,0.0,694.51,0.0,221.19,2.0,1.0,2023-01-08,6,Website,0
200,34,F,Single,Low,1702.06,6,130.84,0.0,0.0,943.29,627.9300000000001,2.0,0.0,2023-02-10,8,Online Banking,0
201,37,M,Married,High,956.5799999999999,3,446.8,390.4,0.0,0.0,119.38,2.0,1.0,2023-08-14,27,Online Banking,1
202,51,F,Widowed,Medium,336.18,1,0.0,0.0,336.18,0.0,0.0,2.0,0.0,2023-03-07,12,Mobile App,0
203,58,F,Divorced,Medium,1767.9,6,313.57,0.0,726.27,403.36,324.7,2.0,0.0,2023-04-16,21,Website,0
204,50,F,Widowed,Medium,454.14,2,379.03,0.0,0.0,75.11,0.0,2.0,1.0,2023-05-08,38,Online Banking,0
205,54,F,Divorced,Low,741.9699999999999,4,183.07,204.64,0.0,0.0,354.26,0.0,0.0,2023-01-27,4,Mobile App,0
206,24,M,Widowed,High,99.58,1,0.0,99.58,0.0,0.0,0.0,0.0,0.0,2023-11-27,25,Mobile App,0
207,39,F,Divorced,High,1799.17,8,466.87,191.44,574.55,0.0,566.31,0.0,0.0,2023-03-28,43,Website,0
208,49,F,Widowed,Low,436.89,2,0.0,436.89,0.0,0.0,0.0,0.0,0.0,2023-06-03,24,Online Banking,0
209,31,F,Divorced,High,1328.06,4,0.0,193.31,456.81,235.33,442.61,0.0,0.0,2023-10-12,12,Mobile App,0
210,25,M,Married,High,1727.27,7,0.0,430.41999999999996,368.96000000000004,345.58,582.31,0.0,0.0,2023-07-24,29,Online Banking,0
211,42,M,Divorced,Medium,1222.21,6,417.44,267.33,0.0,537.44,0.0,0.0,0.0,2023-03-03,35,Online Banking,0
